Name:	Student Card		Academic Card
*130	4594			8543
*131	4510			9556
*132	null			11951
*133	4091			5063
*134	4971			11860
*135	2851			12992
*136	null			7070
*137	1741			6158
*138	2643			11845
*139	2484			11098
*140	1670			13214
*141	3123			10031
*142	null			9267
*143	4549			13461
*144	2285			7244
*145	2173			14714
*146	1488			5812
*147	4730			5757
*148	2833			8639
*149	2186			12968
*150	3499			10980
*151	null			13166
*152	2142			9774
*153	1978			7407
*154	null			5257
*155	2144			6034
*156	2926			12834
*157	null			10016
*158	1749			10546
*159	1657			14007
*160	null			14730
*161	4066			10958
*162	1538			10764
*163	3299			11006
*164	3777			13877
*165	3892			10393
*166	4615			11888
*167	null			7664
*168	1779			8240
*169	1718			13880
*170	null			14763
*171	1753			8347
*172	3923			12091
*173	3415			5333
*174	3480			14923
*175	null			11466
*176	1360			14826
*177	null			8115
*178	1239			8899
*179	3554			11555
*180	3388			14405
*181	1626			14586
*182	null			8796
*183	1758			6042
*184	4988			6908
*185	2349			5155
*186	2574			5513
*187	2162			10339
*188	null			6955
*189	4260			8319
*190	3683			10869
*191	2084			14309
*192	null			8198
*193	3928			10337
*194	3347			9563
*195	3284			5577
*196	4115			7105
*197	3321			11948
*198	null			13377
*199	null			10466
*200	4088			6639
*201	2726			8839
*202	3564			13457
*203	null			6006
*204	1337			5669
*205	null			8622
*206	1494			9973
*207	2730			8138
*208	null			11689
*209	3552			13010
*210	1331			11071
*211	3676			9405
*212	3340			14236
*213	4888			12832
*214	null			14579
*215	1520			8427
*216	2361			13154
*217	4186			7742
*218	null			12786
*219	2610			9841
*220	1833			6762
*221	1603			14914
*222	3041			13844
*223	2893			9600
*224	2523			13454
*225	1237			5101
*226	3467			11424
*227	1646			8922
*228	null			8233
*229	3120			5236
*230	4988			11931
*231	null			12970
*232	1674			10335
*233	4576			8768
*234	null			5931
*235	2247			5056
*236	4348			13582
*237	4705			12651
*238	null			9078
*239	3400			10010
*240	null			10991
*241	3533			6427
*242	3329			7884
*243	null			13070
*244	3351			9353
*245	3509			6796
*246	3833			11230
*247	null			11907
*248	2841			12354
*249	null			5941
*250	4290			6457
*251	3028			10688
*252	2592			6323
*253	null			12860
*254	1315			7043
*255	null			7292
*256	null			6679
*257	2786			6309
*258	null			7649
*259	1420			14629
*260	1009			7023
*261	3812			5477
*262	null			9346
*263	4559			9548
*264	2549			5013
*265	3153			9622
*266	null			10956
*267	1692			13053
*268	1083			8443
*269	3677			13363
*270	null			13681
*271	3043			8156
*272	null			10544
*273	4293			5347
*274	3330			9469
*275	null			10843
*276	2060			5646
*277	null			5890
*278	2789			5359
*279	null			13176
*280	null			11987
*281	2388			5323
*282	null			12209
*283	4554			12963
*284	2459			5817
*285	null			6306
*286	4161			6950
*287	1091			10653
*288	null			8324
*289	4525			7421
*290	2470			14704
*291	1761			5341
*292	null			9304
*293	1214			9667
*294	2312			12651
*295	1860			8940
*296	null			6277
*297	2583			6701
*298	null			10617
*299	2246			5744
*300	3869			8144
*301	3741			13577
*302	null			5434
*303	2780			11141
*304	1298			12047
*305	1035			6669
*306	null			11255
*307	2664			14791
*308	null			14176
*309	3906			14984
*310	null			14796
*311	3300			6365
*312	null			10054
*313	1268			6452
*314	4001			8928
*315	4827			11055
*316	1956			9137
*317	1335			6744
*318	3829			9298
*319	3989			12888
*320	null			5578
*321	3877			8362
*322	null			10833
*323	1671			14646
*324	null			5992
*325	4566			12001
*326	3210			8984
*327	1354			7278
*328	null			11121
*329	1967			14905
*330	2839			6261
*331	null			5981
*332	1800			11441
*333	3023			12800
*334	null			11669
*335	3776			13929
*336	null			9600
*337	null			5421
*338	3094			6445
*339	2177			6279
*340	null			8579
*341	3280			14624
*342	3308			5287
*343	1265			11141
*344	2794			9361
*345	4296			6324
*346	null			12871
*347	4439			8327
*348	2127			5552
*349	null			8177
*350	null			8841
*351	4252			13503
*352	3332			5020
*353	null			13455
*354	4291			13450
*355	null			11813
*356	4192			9811
*357	3033			10837
*358	4996			11663
*359	null			6838
*360	2900			11344
*361	null			9391
*362	null			8053
*363	1588			6217
*364	2529			9457
*365	3428			5789
*366	2049			13926
*367	2691			5277
*368	null			12711
*369	2454			14104
*370	null			11013
*371	3301			8894
*372	null			6619
*373	1797			11135
*374	null			10502
*375	1276			8646
*376	4715			10039
*377	null			8032
*378	3341			7997
*379	null			12896
*380	2766			6568
*381	2186			8307
*382	1566			13921
*383	3342			9607
*384	null			8798
*385	3816			5872
*386	4394			10893
*387	null			13645
*388	2291			11661
*389	null			14545
*390	3221			13843
*391	2096			7193
*392	4777			12467
*393	1226			9009
*394	4522			14285
*395	1747			10056
*396	null			5062
*397	3708			10052
*398	null			8657
*399	1667			5683
*400	null			11289
*401	3608			5936
*402	3388			14096
*403	1680			11169
*404	1657			13243
*405	4681			5449
*406	4775			6636
*407	2481			6835
*408	null			11213
*409	2795			5323
*410	null			12484
*411	3288			7709
*412	4561			12398
*413	1112			14032
*414	null			12349
*415	1325			5845
*416	3492			7477
*417	null			10417
*418	4387			12270
*419	null			10948
*420	null			6697
*421	null			10665
*422	1867			14312
*423	2392			12089
*424	4030			6368
*425	null			9078
*426	3898			9696
*427	4767			14685
*428	4094			8291
*429	3113			13048
*430	null			9099
*431	1897			11121
*432	1542			7962
*433	2705			11820
*434	3073			9029
*435	null			12115
*436	3205			14137
*437	null			13570
*438	3041			13021
*439	2881			10832
*440	null			10102
*441	4703			7273
*442	4367			5185
*443	1171			12547
*444	null			13494
*445	2003			6749
*446	null			11137
*447	4976			9259
*448	2176			10996
*449	1366			11191
*450	3670			13427
*451	null			9403
*452	1605			13581
*453	3775			7603
*454	1414			10882
*455	null			12379
*456	4651			5899
*457	1482			11647
*458	1515			6387
*459	null			12364
*460	1979			13979
*461	2026			8207
*462	null			9319
*463	1220			8137
*464	2617			5085
*465	3873			12141
*466	1000			5302
*467	1727			13033
*468	null			8888
*469	1913			13069
*470	3022			11934
*471	null			9168
*472	4261			9319
*473	1152			10431
*474	3087			7335
*475	2055			6933
*476	3194			14388
*477	null			11838
*478	2560			6610
*479	null			10095
*480	3794			8879
*481	3871			14757
*482	4117			14766
*483	null			12360
*484	null			5196
*485	null			14209
*486	4915			11318
*487	4404			13732
*488	4589			9430
*489	4379			12274
*490	2228			6314
*491	null			7386
*492	2289			14627
*493	4444			6171
*494	null			12137
*495	1146			14865
*496	2584			7190
*497	null			14185
*498	4286			13864
*499	null			7542
*500	4326			14779
